PING 192.168.1.3 (192.168.1.3) 56(84) bytes of data.
64 bytes from 192.168.1.3: icmp_req=84 ttl=64 time=3.63 ms
64 bytes from 192.168.1.3: icmp_req=85 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=86 ttl=64 time=3.44 ms
64 bytes from 192.168.1.3: icmp_req=87 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=88 ttl=64 time=3.64 ms
64 bytes from 192.168.1.3: icmp_req=89 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=90 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=91 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=92 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=93 ttl=64 time=4.07 ms
64 bytes from 192.168.1.3: icmp_req=94 ttl=64 time=73.5 ms
64 bytes from 192.168.1.3: icmp_req=95 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=96 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=97 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=98 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=99 ttl=64 time=40.4 ms
64 bytes from 192.168.1.3: icmp_req=100 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=101 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=102 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=103 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=104 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=105 ttl=64 time=3.58 ms
64 bytes from 192.168.1.3: icmp_req=106 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=107 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=108 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=109 ttl=64 time=3.64 ms
64 bytes from 192.168.1.3: icmp_req=110 ttl=64 time=4.77 ms
64 bytes from 192.168.1.3: icmp_req=111 ttl=64 time=5.78 ms
64 bytes from 192.168.1.3: icmp_req=112 ttl=64 time=3.58 ms
64 bytes from 192.168.1.3: icmp_req=113 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=114 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=115 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=116 ttl=64 time=3.49 ms
